id,Created (UTC),Total Spend,Payment Count,Tax Location Recognized
cus_RqlO8Gz01CYRXm,2025-02-27 9:58,"0,00",0,FALSE
cus_RqlL8NuTqGUuYi,2025-02-27 9:55,"0,00",0,FALSE
cus_RqlERu33ao23ze,2025-02-27 9:48,"0,00",0,FALSE
cus_RqlBBlHHmmwnT1,2025-02-27 9:45,"0,00",0,FALSE
cus_Rqkr7zhFuvltT1,2025-02-27 9:26,"0,00",0,FALSE
cus_Rqkg1coGXcyt48,2025-02-27 9:14,"0,00",0,FALSE
cus_Rqkc8DafzfiU6E,2025-02-27 9:10,"0,00",0,FALSE
cus_Rqkb7iS2558dHo,2025-02-27 9:09,"0,00",0,FALSE
cus_RqkWyeRj08XoIe,2025-02-27 9:04,"79,00",1,TRUE
cus_RqkQLKgeY5gM1v,2025-02-27 8:58,"0,00",0,FALSE
cus_RqkGu7qY73475p,2025-02-27 8:48,"0,00",0,FALSE
cus_RqkCxEKHPXMwKt,2025-02-27 8:45,"0,00",0,FALSE
cus_RqjpJwKxM35jMD,2025-02-27 8:21,"0,00",0,FALSE
cus_RqjdUiXhQdvrYy,2025-02-27 8:10,"0,00",0,FALSE
cus_RqjNu81iGKPDor,2025-02-27 7:54,"0,00",0,FALSE
cus_RqjNngPIG04gOq,2025-02-27 7:53,"0,00",0,FALSE
cus_Rqj2VWdwyZmCK7,2025-02-27 7:33,"0,00",0,FALSE
cus_RqiCtWKDhsphnD,2025-02-27 6:40,"0,00",0,FALSE
cus_RqiAVUfATcFguH,2025-02-27 6:38,"79,00",1,TRUE
cus_RqiAUpigHjMIiE,2025-02-27 6:38,"0,00",0,FALSE
cus_Rqi8EQOT3BfoAB,2025-02-27 6:37,"0,00",0,FALSE
cus_Rqh3Dxijck4q6Y,2025-02-27 5:30,"0,00",0,FALSE
cus_RqgtE1jIi1dJ57,2025-02-27 5:19,"0,00",0,FALSE
cus_RqgmLic14DKtjE,2025-02-27 5:12,"0,00",0,FALSE
cus_RqgbMFEgTQfQaG,2025-02-27 5:01,"0,00",0,FALSE
cus_RqgA6PBknqqSDG,2025-02-27 4:34,"0,00",0,FALSE
cus_Rqfuk1GEdzAAAp,2025-02-27 4:19,"0,00",0,FALSE
cus_RqfYavAjqLMj9T,2025-02-27 3:57,"0,00",0,FALSE
cus_RqfXq4wLzZmOjp,2025-02-27 3:55,"0,00",0,FALSE
cus_RqfJuULkuhz4jl,2025-02-27 3:41,"0,00",0,FALSE
cus_RqfDWCYxhRD0bI,2025-02-27 3:36,"0,00",0,FALSE
cus_RqcIBirdAwA59D,2025-02-27 0:35,"0,00",0,FALSE
cus_Rqbj15Cg5P3sr2,2025-02-27 0:00,"0,00",0,FALSE
cus_RqbiJM2gqQpTES,2025-02-26 23:58,"0,00",0,FALSE
cus_RqbhnR9b3feNrn,2025-02-26 23:57,"0,00",0,FALSE
cus_Rqa3cUekrNnKhQ,2025-02-26 22:15,"0,00",0,FALSE
cus_RqZxVy8kYBlbQQ,2025-02-26 22:10,"0,00",0,FALSE
cus_RqZbf99hanQSMT,2025-02-26 21:47,"0,00",0,FALSE
cus_RqZRFf1F0MfOb8,2025-02-26 21:37,"0,00",0,FALSE
cus_RqZNBKoLzkrZSE,2025-02-26 21:33,"0,00",0,FALSE
cus_RqZAP0oSasTb5K,2025-02-26 21:20,"0,00",0,FALSE
cus_RqZ6aLenllefEN,2025-02-26 21:16,"0,00",0,FALSE
cus_RqYwCqfFev25Tl,2025-02-26 21:07,"0,00",0,FALSE
cus_RqYw2kKM1SmPR0,2025-02-26 21:06,"0,00",0,FALSE
cus_RqYZwExDpHFQxc,2025-02-26 20:44,"0,00",0,FALSE
cus_RqY2gqCzGDgTYg,2025-02-26 20:11,"0,00",0,FALSE
cus_RqY05HSfmCh6EZ,2025-02-26 20:08,"0,00",0,FALSE
cus_RqXwQTlm1ngMja,2025-02-26 20:04,"0,00",0,FALSE
cus_RqXvQhgOkmgdad,2025-02-26 20:04,"0,00",0,FALSE
cus_RqXtNVgngn5qe1,2025-02-26 20:01,"0,00",0,FALSE
cus_RqXjDmkMLpZ7mU,2025-02-26 19:52,"0,00",0,FALSE
cus_RqXiEnVSnddkL8,2025-02-26 19:50,"0,00",0,FALSE
cus_RqXUKopyHBlvFF,2025-02-26 19:37,"0,00",0,FALSE
cus_RqXTGyOG7CDjJs,2025-02-26 19:35,"0,00",0,FALSE
cus_RqXGr6o3FHhcn3,2025-02-26 19:22,"0,00",0,FALSE
cus_RqXFSDoYbST7SM,2025-02-26 19:21,"0,00",0,FALSE
cus_RqXAzhHlrjeMsM,2025-02-26 19:16,"0,00",0,FALSE
cus_RqX8AkKUcRTVzn,2025-02-26 19:14,"0,00",0,FALSE
cus_RqX8qKm4bYwbaa,2025-02-26 19:14,"0,00",0,FALSE
cus_RqX8mMOP9m1Iu9,2025-02-26 19:14,"0,00",0,FALSE
cus_RqX8dUmb93afag,2025-02-26 19:14,"0,00",0,FALSE
cus_RqX8T5gsSmybk8,2025-02-26 19:14,"0,00",0,FALSE
cus_RqX41rOCMipila,2025-02-26 19:10,"0,00",0,FALSE
cus_RqWnGD5hIFFaL3,2025-02-26 18:53,"0,00",0,FALSE
cus_RqWnZPGDMqFH4V,2025-02-26 18:53,"0,00",0,FALSE
cus_RqWk04JVcOA5YM,2025-02-26 18:50,"0,00",0,FALSE
cus_RqWhPJp87c8Jqx,2025-02-26 18:47,"0,00",0,FALSE
cus_RqWMvGJ8fOCadN,2025-02-26 18:26,"0,00",0,FALSE
cus_RqWLwWlW2biPW7,2025-02-26 18:26,"0,00",0,FALSE
cus_RqW8WHe0pZEO0q,2025-02-26 18:12,"0,00",0,FALSE
cus_RqW2r2Pc1YcQEr,2025-02-26 18:06,"0,00",0,FALSE
cus_RqVpWtCx9HKyW6,2025-02-26 17:54,"0,00",0,FALSE
cus_RqVpvKIwsj0aeP,2025-02-26 17:53,"0,00",0,FALSE
cus_RqVeUqD9my0WRy,2025-02-26 17:42,"0,00",0,FALSE
cus_RqV8E8e4AU40k3,2025-02-26 17:10,"37,19",1,TRUE
cus_RqUoWwPnIyiLpY,2025-02-26 16:50,"0,00",0,FALSE
cus_RqUm9EXB8udpgT,2025-02-26 16:48,"0,00",0,FALSE
cus_RqUilxubvmLMnt,2025-02-26 16:45,"0,00",0,FALSE
cus_RqUZIcTaIfufH3,2025-02-26 16:36,"0,00",0,FALSE
cus_RqUWf0DuKSoErT,2025-02-26 16:33,"0,00",0,FALSE
cus_RqUT4yy8wgnP01,2025-02-26 16:30,"0,00",0,FALSE
cus_RqUOupoG9CHUZI,2025-02-26 16:24,"0,00",0,FALSE
cus_RqUH4GHtuBaSwv,2025-02-26 16:17,"0,00",0,FALSE
cus_RqUG2o1dgl3ZTm,2025-02-26 16:16,"0,00",0,FALSE
cus_RqUFY4cW4dHklq,2025-02-26 16:15,"0,00",0,FALSE
cus_RqUFUo9sIvJALF,2025-02-26 16:15,"0,00",0,FALSE
cus_RqTnPXohaXVONf,2025-02-26 15:47,"0,00",0,FALSE
