id,Amount Due,Closed,Currency,Customer,Date (UTC),Due Date (UTC),Ending Balance,Forgiven,Paid,Paid At (UTC),Marked Uncollectible At (UTC),Voided At (UTC),Finalized At (UTC),Minimum Line Item Period Start (UTC),Maximum Line Item Period End (UTC),Period Start (UTC),Period End (UTC),Starting Balance,Subscription,Subtotal,Total Discount Amount,Applied Coupons,Tax,Tax Percent,Total,Amount Paid,Status,Exclusive Tax Amount,Inclusive Tax Amount
in_1Qx3plAFeGZf0UoOd9f9bW47,"0,00",FALSE,eur,cus_NHFLrvkCpBFCs7,2025-02-27 9:56,,,FALSE,FALSE,,,,,2025-02-27 9:56,2025-03-27 9:56,2025-01-27 9:56,2025-02-27 9:56,"-7,60",sub_1Mg3RXAFeGZf0UoOk6tgmHXy,"0,00","0,00",,"0,00",20,"0,00","0,00",draft,"0,00","0,00"
in_1Qx3phAFeGZf0UoOy7Khkj9i,"0,00",FALSE,eur,cus_LSl85Ix2Ek965l,2025-02-27 9:56,,,FALSE,FALSE,,,,,2025-02-27 9:56,2025-03-27 9:56,2025-01-27 9:56,2025-02-27 9:56,"-23,04",sub_1LmaWWAFeGZf0UoO6OEZ7teq,"0,00","0,00",,"0,00",19,"0,00","0,00",draft,"0,00","0,00"
in_1Qx3XqAFeGZf0UoONAAW2muL,"104,40",FALSE,eur,cus_PQFFOsNVNtuBN9,2025-02-27 9:38,2025-03-02 9:37,,FALSE,FALSE,,,,,2025-02-27 9:37,2025-03-27 9:37,2025-01-27 9:37,2025-02-27 9:37,"0,00",sub_1QPhgOAFeGZf0UoOf7uRPvxM,"87,00","0,00",,"17,40",20,"104,40","0,00",draft,"17,40","0,00"
in_1Qx3XqAFeGZf0UoOl79vERDa,"39,00",FALSE,eur,cus_Q7apBCt36xeGbK,2025-02-27 9:38,,,FALSE,FALSE,,,,,2025-02-27 9:37,2025-03-27 9:37,2025-01-27 9:37,2025-02-27 9:37,"0,00",sub_1Q3abzAFeGZf0UoO5UPNkeq7,"39,00","0,00",,,,"39,00","0,00",draft,,
in_1Qx3WCAFeGZf0UoOcbJhPyor,"82,80",FALSE,eur,cus_MU4dOalEEat1Ah,2025-02-27 9:36,,,FALSE,FALSE,,,,,2025-02-27 9:35,2025-03-27 9:35,2025-01-27 9:35,2025-02-27 9:35,"0,00",sub_1OH1EMAFeGZf0UoO9at6xQkP,"69,00","0,00",,"13,80",20,"82,80","0,00",draft,"13,80","0,00"
in_1Qx3URAFeGZf0UoOk3Exd7dX,"0,00",FALSE,eur,cus_NwgABqoN2sQ1KT,2025-02-27 9:34,,,FALSE,FALSE,,,,,2025-02-27 9:34,2025-03-27 9:34,2025-01-27 9:34,2025-02-27 9:34,"-39,20",sub_1NG3cfAFeGZf0UoOewGSsCy7,"0,00","0,00",,,19,"0,00","0,00",draft,,
in_1Qx3RxAFeGZf0UoOuLwBXWSr,"39,00",FALSE,usd,cus_NOv5MWBp7xFGt2,2025-02-27 9:32,,,FALSE,FALSE,,,,,2025-02-27 9:32,2025-03-27 9:32,2025-01-27 9:32,2025-02-27 9:32,"0,00",sub_1MeOMNAFeGZf0UoOGI1Os1Z4,"39,00","0,00",,,,"39,00","0,00",draft,,
in_1Qx3R0AFeGZf0UoOYSx37Ftb,"22,50",TRUE,eur,cus_PbPmpwRy3HrxgP,2025-02-27 9:31,2025-02-27 22:59,"0,00",FALSE,TRUE,2025-02-27 9:32,,,2025-02-27 9:32,2025-02-27 9:32,2025-02-27 9:32,2024-06-28 8:04,2025-06-28 8:04,"0,00",,"22,50","0,00",,,,"22,50","22,50",paid,,
in_1Qx3QiAFeGZf0UoOuUdCQpH8,"39,00",FALSE,eur,cus_LWJnK7t6A2alLg,2025-02-27 9:30,,"0,00",FALSE,FALSE,,,,2025-02-27 9:30,2025-02-27 9:30,2025-03-27 9:30,2025-02-27 9:30,2025-02-27 9:30,"0,00",sub_1Qx3QiAFeGZf0UoOrFMMTebz,"39,00","0,00",,,19,"39,00","0,00",open,,
in_1Qx3ORAFeGZf0UoOoPENUxcp,"23,40",FALSE,eur,cus_R4XujjQuDrc7V9,2025-02-27 9:28,,,FALSE,FALSE,,,,,2025-02-27 9:28,2025-03-27 9:28,2025-01-27 9:28,2025-02-27 9:28,"0,00",sub_1QPhXxAFeGZf0UoO2BzFucwF,"39,00","19,50",FSSURFE50,"3,90",20,"23,40","0,00",draft,"3,90","0,00"
